BranchID,TerminalOrder,PathPointIndex,PathEdgeIndex,SourceCurveIndex,CurvePointIndex,X_mm,Y_mm,Z_mm,SegmentLength_mm,CumulativeLength_mm,NormalizedProgress,IsTerminalSegment,Terminal_X_mm,Terminal_Y_mm,Terminal_Z_mm,TotalPathLength_mm,PathEdgeCount
Branch_003,3,7,0,9,7,10.287036000,-60.827480000,38.464947000,4.631497731,34.828642727,0.186422457,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,8,0,9,8,11.014260000,-56.442604000,39.132923000,4.494683995,39.323326723,0.210480530,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,9,0,9,9,11.527933000,-52.014019000,39.835442000,4.513286829,43.836613551,0.234638176,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,10,0,9,10,11.720328000,-47.372635000,40.409962000,4.680762171,48.517375722,0.259692244,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,11,0,9,11,11.570354000,-42.445747000,40.769272000,4.942248602,53.459624324,0.286145935,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,12,0,9,12,11.152950000,-37.279388000,40.914940000,5.185239684,58.644864008,0.313900250,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,13,0,9,13,10.623031000,-32.017574000,40.921852000,5.288435354,63.933299362,0.342206926,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,14,0,9,14,10.179241000,-26.849152000,40.901917000,5.187478476,69.120777838,0.369973224,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,15,0,9,15,10.018347000,-21.942720000,40.961330000,4.909428862,74.030206700,0.396251245,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,16,0,9,16,10.293105000,-17.392542000,41.166740000,4.563091612,78.593298312,0.420675474,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
Branch_003,3,17,0,9,17,11.084682000,-13.193231000,41.531292000,4.288788312,82.882086624,0.443631478,0,70.201263000,-13.558737000,83.102394000,186.826433078,7
